"","V1","V2","V3","V4"
"Recruitment_group","C","DA","DC","IA"
"N","45","49","22","45"
"mean_age","9.43","9.81","9.83","9.94"
"sd_age","1.90","1.66","2.41","1.98"
"min_age","6.02","6.35","6.31","6.45"
"max_age","12.54","12.99","12.76","12.81"
"N_female","21","21","11","27"
"N_male","24","28","11","18"
"mean_IQ","103.09"," 95.84"," 97.68","104.33"
"sd_IQ","17.08","12.12","12.96","13.39"
"mean_fam_inc_needs","2.80","4.11","1.23","6.39"
"sd_fam_inc_needs","2.76","2.97","1.29","5.33"
"perc_below_poverty","0.29","0.06","0.50","0.00"
