"","V1","V2","V3","V4"
"Recruitment_group","C","DA","DC","IA"
"N","38","44","17","42"
"mean_age"," 9.85"," 9.96","10.04"," 9.89"
"sd_age","1.76","1.67","2.25","1.97"
"min_age","6.02","6.35","7.41","6.45"
"max_age","12.54","12.99","12.76","12.81"
"N_female","18","21"," 8","25"
"N_male","20","23"," 9","17"
"mean_IQ","102.92"," 94.91"," 97.71","104.05"
"sd_IQ","17.20","12.04","14.33","13.69"
"mean_fam_inc_needs","3.13","3.80","1.41","6.35"
"sd_fam_inc_needs","2.84","2.56","1.32","5.50"
"perc_below_poverty","0.21","0.07","0.47","0.00"
