"Race","Ethnicity","Gender","Age","Age Unit"
"Asian","Not Hispanic or Latino","Male",8,"years"
"White","Not Hispanic or Latino","Male",8,"years"
"Black","Not Hispanic or Latino","Female",11,"years"
"Black","Not Hispanic or Latino","Female",6,"years"
"White","Not Hispanic or Latino","Male",9,"years"
"More than one race","Hispanic or Latino","Female",6,"years"
"More than one race","Not Hispanic or Latino","Male",8,"years"
"Unknown","Not Hispanic or Latino","Female",8,"years"
"Black","Hispanic or Latino","Male",7,"years"
"More than one race","Not Hispanic or Latino","Male",7,"years"
"More than one race","Not Hispanic or Latino","Female",8,"years"
"Black","Not Hispanic or Latino","Male",9,"years"
"More than one race","Hispanic or Latino","Male",9,"years"
"White","Hispanic or Latino","Female",9,"years"
"White","Not Hispanic or Latino","Male",6,"years"
"Black","Not Hispanic or Latino","Female",8,"years"
"White","Not Hispanic or Latino","Male",8,"years"
"Black","Not Hispanic or Latino","Male",7,"years"
"Unknown","Not Hispanic or Latino","Male",7,"years"
"Black","Not Hispanic or Latino","Female",8,"years"
"Black","Not Hispanic or Latino","Female",9,"years"
"White","Hispanic or Latino","Male",9,"years"
"Unknown","Hispanic or Latino","Male",8,"years"
"White","Hispanic or Latino","Male",7,"years"
"White","Not Hispanic or Latino","Female",8,"years"
"Black","Not Hispanic or Latino","Male",9,"years"
"More than one race","Not Hispanic or Latino","Female",8,"years"
"Black","Not Hispanic or Latino","Male",12,"years"
"Unknown","Hispanic or Latino","Male",12,"years"
"More than one race","Hispanic or Latino","Male",6,"years"
"White","Not Hispanic or Latino","Male",8,"years"
"Black","Not Hispanic or Latino","Male",9,"years"
"Unknown","Hispanic or Latino","Female",8,"years"
"Unknown","Hispanic or Latino","Female",6,"years"
"Black","Not Hispanic or Latino","Male",6,"years"
"Unknown","Hispanic or Latino","Female",12,"years"
"More than one race","Not Hispanic or Latino","Male",10,"years"
"More than one race","Not Hispanic or Latino","Female",10,"years"
"More than one race","Not Hispanic or Latino","Male",11,"years"
"Unknown","Hispanic or Latino","Female",12,"years"
"Unknown","Not Hispanic or Latino","Female",13,"years"
"Unknown","Hispanic or Latino","Male",7,"years"
"Black","Not Hispanic or Latino","Female",6,"years"
"Black","Not Hispanic or Latino","Female",10,"years"
"Black","Not Hispanic or Latino","Female",7,"years"
"Black","Not Hispanic or Latino","Male",12,"years"
"White","Not Hispanic or Latino","Female",13,"years"
"Black","Not Hispanic or Latino","Male",9,"years"
"Black","Not Hispanic or Latino","Female",8,"years"
"Black","Hispanic or Latino","Male",8,"years"
"White","Hispanic or Latino","Male",12,"years"
"Black","Hispanic or Latino","Female",12,"years"
"White","Not Hispanic or Latino","Female",9,"years"
"White","Hispanic or Latino","Male",7,"years"
"White","Not Hispanic or Latino","Female",6,"years"
"White","Not Hispanic or Latino","Male",7,"years"
"White","Not Hispanic or Latino","Male",9,"years"
"White","Not Hispanic or Latino","Female",13,"years"
"White","Not Hispanic or Latino","Female",7,"years"
"More than one race","Not Hispanic or Latino","Male",11,"years"
"White","Not Hispanic or Latino","Male",12,"years"
"White","Hispanic or Latino","Male",7,"years"
"White","Hispanic or Latino","Female",8,"years"
"More than one race","Not Hispanic or Latino","Male",9,"years"
"White","Not Hispanic or Latino","Male",11,"years"
"Asian","Not Hispanic or Latino","Female",7,"years"
"More than one race","Not Hispanic or Latino","Female",13,"years"
"Black","Not Hispanic or Latino","Female",9,"years"
"White","Not Hispanic or Latino","Male",9,"years"
"Unknown","Hispanic or Latino","Male",11,"years"
"Unknown","Hispanic or Latino","Male",11,"years"
"More than one race","Hispanic or Latino","Male",10,"years"
"More than one race","Hispanic or Latino","Female",12,"years"
"Black","Not Hispanic or Latino","Male",11,"years"
"Black","Not Hispanic or Latino","Male",8,"years"
"Black","Not Hispanic or Latino","Female",12,"years"
"Unknown","Hispanic or Latino","Male",12,"years"
"Black","Hispanic or Latino","Male",9,"years"
"White","Not Hispanic or Latino","Female",11,"years"
"White","Not Hispanic or Latino","Male",13,"years"
"White","Not Hispanic or Latino","Male",8,"years"
"White","Not Hispanic or Latino","Male",10,"years"
"Asian","Not Hispanic or Latino","Female",13,"years"
"Asian","Not Hispanic or Latino","Female",9,"years"
"White","Hispanic or Latino","Male",9,"years"
"Asian","Not Hispanic or Latino","Male",12,"years"
"American Indian","Hispanic or Latino","Female",12,"years"
"Black","Hispanic or Latino","Female",10,"years"
"Black","Not Hispanic or Latino","Female",8,"years"
"White","Not Hispanic or Latino","Female",12,"years"
"More than one race","Not Hispanic or Latino","Male",8,"years"
"White","Not Hispanic or Latino","Female",11,"years"
"White","Not Hispanic or Latino","Male",12,"years"
"Asian","Not Hispanic or Latino","Male",6,"years"
"Unknown","Unknown","Female",8,"years"
"White","Not Hispanic or Latino","Female",10,"years"
"More than one race","Not Hispanic or Latino","Female",10,"years"
"Black","Not Hispanic or Latino","Male",12,"years"
"Asian","Not Hispanic or Latino","Female",11,"years"
"Black","Not Hispanic or Latino","Female",7,"years"
"Black","Hispanic or Latino","Female",9,"years"
"Unknown","Hispanic or Latino","Female",10,"years"
"Black","Not Hispanic or Latino","Female",7,"years"
"Black","Not Hispanic or Latino","Male",7,"years"
"White","Not Hispanic or Latino","Female",10,"years"
"Black","Not Hispanic or Latino","Female",7,"years"
"Unknown","Hispanic or Latino","Female",7,"years"
"White","Not Hispanic or Latino","Male",10,"years"
"White","Not Hispanic or Latino","Female",9,"years"
"More than one race","Not Hispanic or Latino","Male",9,"years"
"More than one race","Not Hispanic or Latino","Female",10,"years"
"Black","Not Hispanic or Latino","Male",11,"years"
"Black","Not Hispanic or Latino","Male",10,"years"
"Black","Not Hispanic or Latino","Female",12,"years"
"Black","Not Hispanic or Latino","Male",13,"years"
"Asian","Not Hispanic or Latino","Male",12,"years"
"Asian","Not Hispanic or Latino","Female",12,"years"
"Black","Not Hispanic or Latino","Male",8,"years"
"White","Not Hispanic or Latino","Male",12,"years"
"White","Hispanic or Latino","Male",7,"years"
"Unknown","Hispanic or Latino","Female",13,"years"
"More than one race","Hispanic or Latino","Male",12,"years"
"Unknown","Hispanic or Latino","Female",10,"years"
"Unknown","Hispanic or Latino","Female",11,"years"
"More than one race","Hispanic or Latino","Male",9,"years"
"More than one race","Hispanic or Latino","Male",11,"years"
"White","Not Hispanic or Latino","Female",8,"years"
"White","Not Hispanic or Latino","Male",11,"years"
"More than one race","Not Hispanic or Latino","Female",9,"years"
"Asian","Not Hispanic or Latino","Female",10,"years"
"White","Not Hispanic or Latino","Female",8,"years"
"Unknown","Hispanic or Latino","Male",13,"years"
"Black","Not Hispanic or Latino","Male",8,"years"
"More than one race","Not Hispanic or Latino","Male",8,"years"
"Black","Hispanic or Latino","Female",8,"years"
"Black","Not Hispanic or Latino","Female",8,"years"
"Asian","Not Hispanic or Latino","Male",7,"years"
"Black","Not Hispanic or Latino","Male",9,"years"
"Black","Not Hispanic or Latino","Male",10,"years"
"Unknown","Hispanic or Latino","Female",10,"years"
"Black","Not Hispanic or Latino","Female",11,"years"
"Black","Not Hispanic or Latino","Female",12,"years"
"Unknown","Hispanic or Latino","Female",13,"years"
"White","Not Hispanic or Latino","Female",11,"years"
"Black","Not Hispanic or Latino","Female",11,"years"
"Black","Not Hispanic or Latino","Male",12,"years"
"Asian","Not Hispanic or Latino","Female",9,"years"
"Asian","Not Hispanic or Latino","Female",11,"years"
"Asian","Not Hispanic or Latino","Male",11,"years"
"White","Not Hispanic or Latino","Female",12,"years"
"Unknown","Not Hispanic or Latino","Female",8,"years"
"Asian","Not Hispanic or Latino","Female",11,"years"
"White","Not Hispanic or Latino","Female",10,"years"
"White","Not Hispanic or Latino","Female",10,"years"
"White","Not Hispanic or Latino","Male",11,"years"
"Asian","Not Hispanic or Latino",NA,NA,"years"
"Asian","Not Hispanic or Latino",NA,NA,"years"
"Black","Hispanic or Latino","Male",11,"years"
"Black","Hispanic or Latino","Female",13,"years"
"White","Not Hispanic or Latino","Female",10,"years"
"White","Not Hispanic or Latino","Male",6,"years"
"Unknown","Hispanic or Latino","Female",9,"years"
"Unknown","Hispanic or Latino","Male",11,"years"
"Unknown","Hispanic or Latino","Female",11,"years"
"Black","Not Hispanic or Latino","Female",12,"years"
"White","Hispanic or Latino","Male",11,"years"
"White","Hispanic or Latino","Female",11,"years"
"More than one race","Hispanic or Latino","Female",8,"years"
"More than one race","Hispanic or Latino","Male",9,"years"
"More than one race","Not Hispanic or Latino","Female",6,"years"
"Unknown","Hispanic or Latino","Male",13,"years"
"Black","Not Hispanic or Latino","Female",6,"years"
"Asian","Not Hispanic or Latino","Female",7,"years"
"White","Not Hispanic or Latino","Female",9,"years"
"Asian","Not Hispanic or Latino","Male",10,"years"
"White","Not Hispanic or Latino","Male",11,"years"
"White","Not Hispanic or Latino","Female",8,"years"
"Unknown","Hispanic or Latino","Male",7,"years"
"Unknown","Hispanic or Latino","Male",8,"years"
"Unknown","Hispanic or Latino","Male",9,"years"
"Black","Not Hispanic or Latino","Male",11,"years"
"Black","Not Hispanic or Latino","Male",7,"years"
"Unknown","Hispanic or Latino","Male",12,"years"
"More than one race","Not Hispanic or Latino","Female",13,"years"
"Asian","Not Hispanic or Latino","Female",7,"years"
"White","Not Hispanic or Latino","Female",12,"years"
"Asian","Not Hispanic or Latino","Female",13,"years"
"Unknown","Hispanic or Latino","Male",12,"years"
"Black","Not Hispanic or Latino","Male",9,"years"
"White","Not Hispanic or Latino","Male",7,"years"
"Asian","Not Hispanic or Latino","Female",7,"years"
"Asian","Not Hispanic or Latino","Male",9,"years"
"Unknown","Hispanic or Latino","Male",7,"years"
"White","Hispanic or Latino","Female",8,"years"
"Black","Not Hispanic or Latino","Female",8,"years"
"White","Not Hispanic or Latino","Female",7,"years"
"White","Hispanic or Latino","Female",8,"years"
"White","Not Hispanic or Latino","Male",7,"years"
"White","Not Hispanic or Latino","Male",8,"years"
"Black","Not Hispanic or Latino","Female",8,"years"
"White","Not Hispanic or Latino","Male",8,"years"
"White","Hispanic or Latino","Female",6,"years"
"White","Hispanic or Latino","Male",10,"years"
"Unknown","Hispanic or Latino","Female",8,"years"
"Black","Hispanic or Latino","Female",10,"years"
"More than one race","Hispanic or Latino","Female",13,"years"
"Unknown","Hispanic or Latino","Female",11,"years"
"Black","Not Hispanic or Latino","Female",11,"years"
"White","Not Hispanic or Latino","Male",8,"years"
"Black","Not Hispanic or Latino","Female",8,"years"
"White","Hispanic or Latino","Male",6,"years"
"Unknown","Hispanic or Latino","Female",7,"years"
"White","Hispanic or Latino","Male",12,"years"
"White","Hispanic or Latino","Male",7,"years"
"White","Not Hispanic or Latino","Female",6,"years"
"White","Not Hispanic or Latino","Female",7,"years"
"Black","Hispanic or Latino","Female",6,"years"
"Unknown","Hispanic or Latino","Male",7,"years"
"White","Not Hispanic or Latino","Female",6,"years"
"More than one race","Hispanic or Latino","Female",8,"years"
"Unknown","Hispanic or Latino","Male",6,"years"
"White","Not Hispanic or Latino","Male",6,"years"
"Black","Hispanic or Latino","Male",6,"years"
"Black","Not Hispanic or Latino","Female",6,"years"
"White","Not Hispanic or Latino","Male",8,"years"
"More than one race","Hispanic or Latino","Female",6,"years"
"Unknown","Not Hispanic or Latino","Female",8,"years"
"White","Not Hispanic or Latino","Female",7,"years"
"Black","Not Hispanic or Latino","Female",7,"years"
"Black","Not Hispanic or Latino","Male",9,"years"
