"SUBJECTID" "Run_number"
"1" "PA025" "RUN1"
"2" "PA025" "RUN2"
"3" "PA031" "RUN2"
"4" "PA031" "RUN1"
"5" "PA033" "RUN1"
"6" "PA033" "RUN2"
"7" "PA040" "RUN2"
"8" "PA040" "RUN1"
"9" "PA042" "RUN2"
"10" "PA042" "RUN1"
"11" "PA049" "RUN1"
"12" "PA049" "RUN2"
"13" "PA050" "RUN1"
"14" "PA050" "RUN2"
"15" "PA052" "RUN2"
"16" "PA052" "RUN1"
"17" "PA061" "RUN1"
"18" "PA061" "RUN2"
"19" "PA065" "RUN1"
"20" "PA065" "RUN2"
"21" "PA067" "RUN1"
"22" "PA068" "RUN1"
"23" "PA068" "RUN2"
"24" "PA069" "RUN2"
"25" "PA069" "RUN1"
"26" "PA070" "RUN1"
"27" "PA070" "RUN2"
"28" "PA072" "RUN1"
"29" "PA073" "RUN1"
"30" "PA073" "RUN2"
"31" "PA074" "RUN2"
"32" "PA074" "RUN1"
"33" "PA075" "RUN1"
"34" "PA075" "RUN2"
"35" "PA077" "RUN2"
"36" "PA077" "RUN1"
"37" "PA078" "RUN1"
"38" "PA078" "RUN2"
"39" "PA079" "RUN1"
"40" "PA079" "RUN2"
"41" "PA083" "RUN1"
"42" "PA084" "RUN1"
"43" "PA084" "RUN2"
"44" "PA085" "RUN1"
"45" "PA085" "RUN2"
"46" "PA086" "RUN1"
"47" "PA086" "RUN2"
"48" "PA087" "RUN2"
"49" "PA087" "RUN1"
"50" "PA088" "RUN1"
"51" "PA088" "RUN2"
"52" "PA089" "RUN1"
"53" "PA089" "RUN2"
"54" "PA090" "RUN2"
"55" "PA090" "RUN1"
"56" "PA091" "RUN1"
"57" "PA091" "RUN2"
"58" "PA092" "RUN1"
"59" "PA092" "RUN2"
"60" "PA094" "RUN2"
"61" "PA094" "RUN1"
"62" "PA095" "RUN2"
"63" "PA095" "RUN1"
"64" "PA096" "RUN1"
"65" "PA097" "RUN2"
"66" "PA097" "RUN1"
"67" "PA098" "RUN2"
"68" "PA098" "RUN1"
"69" "PA099" "RUN1"
"70" "PA099" "RUN2"
"71" "PA103" "RUN2"
"72" "PA103" "RUN1"
"73" "PA104" "RUN1"
"74" "PA104" "RUN2"
"75" "PA109" "RUN2"
"76" "PA109" "RUN1"
"77" "PA110" "RUN2"
"78" "PA110" "RUN1"
"79" "PA112" "RUN1"
"80" "PA113" "RUN1"
"81" "PA113" "RUN2"
"82" "PA114" "RUN2"
"83" "PA114" "RUN1"
"84" "PA115" "RUN2"
"85" "PA115" "RUN1"
"86" "PA117" "RUN1"
"87" "PA117" "RUN2"
"88" "PA118" "RUN2"
"89" "PA118" "RUN1"
"90" "PA119" "RUN2"
"91" "PA119" "RUN1"
"92" "PA121" "RUN2"
"93" "PA121" "RUN1"
"94" "PA122" "RUN2"
"95" "PA122" "RUN1"
"96" "PA123" "RUN1"
"97" "PA123" "RUN2"
"98" "PA124" "RUN2"
"99" "PA124" "RUN1"
"100" "PA126" "RUN2"
"101" "PA126" "RUN1"
"102" "PA127" "RUN2"
"103" "PA127" "RUN1"
"104" "PA128" "RUN2"
"105" "PA128" "RUN1"
"106" "PA129" "RUN2"
"107" "PA129" "RUN1"
"108" "PA130" "RUN2"
"109" "PA130" "RUN1"
"110" "PA131" "RUN1"
"111" "PA132" "RUN2"
"112" "PA132" "RUN1"
"113" "PA133" "RUN1"
"114" "PA133" "RUN2"
"115" "PA134" "RUN2"
"116" "PA134" "RUN1"
"117" "PA135" "RUN2"
"118" "PA135" "RUN1"
"119" "PA136" "RUN2"
"120" "PA136" "RUN1"
"121" "PA137" "RUN2"
"122" "PA137" "RUN1"
"123" "PA138" "RUN2"
"124" "PA138" "RUN1"
"125" "PA139" "RUN2"
"126" "PA139" "RUN1"
"127" "PA140" "RUN2"
"128" "PA140" "RUN1"
"129" "PA141" "RUN1"
"130" "PA141" "RUN2"
"131" "PA142" "RUN1"
"132" "PA142" "RUN2"
"133" "PA143" "RUN2"
"134" "PA143" "RUN1"
"135" "PA144" "RUN1"
"136" "PA146" "RUN2"
"137" "PA146" "RUN1"
