SUBJECTID RunNumber
PA025 run1
PA025 run2
PA031 run1
PA031 run2
PA033 run1
PA040 run1
PA040 run2
PA043 run1
PA044 run2
PA049 run2
PA050 run1
PA052 run1
PA052 run2
PA065 run1
PA065 run2
PA067 run1
PA068 run1
PA068 run2
PA070 run1
PA073 run1
PA073 run2
PA074 run2
PA075 run1
PA077 run1
PA077 run2
PA086 run1
PA086 run2
PA088 run1
PA089 run1
PA090 run1
PA090 run2
PA091 run2
PA097 run1
PA097 run2
PA098 run1
PA098 run2
PA099 run1
PA099 run2
PA101 run1
PA101 run2
PA104 run1
PA104 run2
PA109 run1
PA109 run2
PA114 run1
PA114 run2
PA117 run2
PA118 run1
PA118 run2
PA119 run2
PA121 run1
PA122 run1
PA122 run2
PA124 run1
PA124 run2
PA125 run1
PA126 run1
PA126 run2
PA128 run1
PA128 run2
PA130 run1
PA130 run2
PA131 run1
PA132 run2
PA133 run1
PA133 run2
PA135 run1
PA135 run2
PA136 run1
PA138 run1
PA139 run1
PA139 run2
PA140 run1
PA140 run2
PA141 run2
PA142 run1
PA143 run1
PA143 run2
PA144 run1
PA146 run1
PA146 run2
PA148 run2
PA153 run1
PA154 run1
PA155 run2
PA160 run2
PA164 run1
PA165 run1
PA169 run2
PA170 run1
PA170 run2
PA171 run1
PA172 run1
PA172 run2
PA173 run1
PA173 run2
PA175 run1
PA175 run2
PA176 run1
PA177 run1
PA177 run2
PA178 run1
PA178 run2
PA179 run1
PA181 run1
PA181 run2
PA182 run1
PA182 run2
PA183 run1
PA183 run2
PA184 run1
PA185 run1
PA185 run2
PA188 run1
PA188 run2
PA193 run1
PA193 run2
PA196 run1
PA196 run2
PA197 run2
PA199 run1
PA201 run2
PA202 run2
PA203 run1
PA204 run1
PA204 run2
PA207 run1
PA207 run2
PA209 run1
PA210 run1
PA210 run2
PA211 run2
PA212 run1
PA213 run1
PA213 run2
PA214 run1
PA215 run1
PA215 run2
PA220 run2
PA222 run1
PA222 run2
PA223 run1
PA223 run2
PA225 run1
PA225 run2
PA226 run2
PA229 run1
PA229 run2
PA233 run1
PA233 run2
PA234 run1
PA234 run2
PA235 run1
PA235 run2
PA237 run1
PA237 run2
PA238 run1
PA239 run1
PA239 run2
PA248 run1
PA248 run2
PA249 run2
PA250 run1
PA251 run1
PA251 run2
PA256 run1
PA259 run1
PA259 run2
PA260 run2
PA265 run2
PA268 run1
PA268 run2
PA279 run1
PA279 run2
