SUBJECTID RunNumber
PA025 RUN1
PA025 RUN2
PA031 RUN1
PA031 RUN2
PA033 RUN1
PA040 RUN1
PA040 RUN2
PA043 RUN1
PA044 RUN2
PA049 RUN2
PA050 RUN1
PA052 RUN1
PA052 RUN2
PA065 RUN1
PA065 RUN2
PA067 RUN1
PA068 RUN1
PA068 RUN2
PA070 RUN1
PA073 RUN1
PA073 RUN2
PA074 RUN2
PA075 RUN1
PA077 RUN1
PA077 RUN2
PA086 RUN1
PA086 RUN2
PA088 RUN1
PA089 RUN1
PA090 RUN1
PA090 RUN2
PA091 RUN2
PA097 RUN1
PA097 RUN2
PA098 RUN1
PA098 RUN2
PA099 RUN1
PA099 RUN2
PA101 RUN1
PA101 RUN2
PA104 RUN1
PA104 RUN2
PA109 RUN1
PA109 RUN2
PA114 RUN1
PA114 RUN2
PA117 RUN2
PA118 RUN1
PA118 RUN2
PA119 RUN2
PA121 RUN1
PA122 RUN1
PA122 RUN2
PA124 RUN1
PA124 RUN2
PA125 RUN1
PA126 RUN1
PA126 RUN2
PA128 RUN1
PA128 RUN2
PA130 RUN1
PA130 RUN2
PA131 RUN1
PA132 RUN2
PA133 RUN1
PA133 RUN2
PA135 RUN1
PA135 RUN2
PA136 RUN1
PA137 RUN1
PA137 RUN2
PA138 RUN1
PA139 RUN1
PA139 RUN2
PA140 RUN1
PA140 RUN2
PA141 RUN2
PA142 RUN1
PA143 RUN1
PA143 RUN2
PA144 RUN1
PA146 RUN1
PA146 RUN2
PA148 RUN2
PA153 RUN1
PA154 RUN1
PA155 RUN2
PA156 RUN1
PA156 RUN2
PA160 RUN2
PA164 RUN1
PA165 RUN1
PA169 RUN2
PA170 RUN1
PA170 RUN2
PA171 RUN1
PA172 RUN1
PA172 RUN2
PA173 RUN1
PA173 RUN2
PA175 RUN1
PA175 RUN2
PA176 RUN1
PA177 RUN1
PA177 RUN2
PA178 RUN1
PA178 RUN2
PA179 RUN1
PA181 RUN1
PA181 RUN2
PA182 RUN1
PA182 RUN2
PA183 RUN1
PA183 RUN2
PA184 RUN1
PA185 RUN1
PA185 RUN2
PA188 RUN1
PA188 RUN2
PA193 RUN1
PA193 RUN2
PA195 RUN1
PA195 RUN2
PA196 RUN1
PA196 RUN2
PA197 RUN2
PA199 RUN1
PA201 RUN2
PA202 RUN2
PA203 RUN1
PA204 RUN1
PA204 RUN2
PA207 RUN1
PA207 RUN2
PA209 RUN1
PA210 RUN1
PA210 RUN2
PA211 RUN2
PA212 RUN1
PA213 RUN1
PA213 RUN2
PA214 RUN1
PA215 RUN1
PA215 RUN2
PA220 RUN2
PA222 RUN1
PA222 RUN2
PA223 RUN1
PA223 RUN2
PA225 RUN1
PA225 RUN2
PA226 RUN2
PA229 RUN1
PA229 RUN2
PA233 RUN1
PA233 RUN2
PA234 RUN1
PA234 RUN2
PA235 RUN1
PA235 RUN2
PA237 RUN1
PA237 RUN2
PA238 RUN1
PA239 RUN1
PA239 RUN2
PA248 RUN1
PA248 RUN2
PA249 RUN2
PA250 RUN1
PA251 RUN1
PA251 RUN2
PA256 RUN1
PA257 RUN1
PA257 RUN2
PA259 RUN1
PA259 RUN2
PA260 RUN2
PA265 RUN2
PA268 RUN1
PA268 RUN2
PA279 RUN1
PA279 RUN2
