"SUBJECTID" "RunNumber"
"1" "PA025" "run1"
"2" "PA025" "run2"
"3" "PA031" "run1"
"4" "PA031" "run2"
"5" "PA033" "run1"
"6" "PA040" "run1"
"7" "PA040" "run2"
"8" "PA043" "run1"
"9" "PA044" "run2"
"10" "PA049" "run2"
"11" "PA050" "run1"
"12" "PA052" "run1"
"13" "PA052" "run2"
"14" "PA065" "run1"
"15" "PA065" "run2"
"16" "PA067" "run1"
"17" "PA068" "run1"
"18" "PA068" "run2"
"19" "PA069" "run1"
"20" "PA070" "run1"
"21" "PA070" "run2"
"22" "PA073" "run1"
"23" "PA073" "run2"
"24" "PA074" "run1"
"25" "PA074" "run2"
"26" "PA075" "run1"
"27" "PA077" "run1"
"28" "PA077" "run2"
"29" "PA086" "run1"
"30" "PA086" "run2"
"31" "PA088" "run1"
"32" "PA088" "run2"
"33" "PA089" "run1"
"34" "PA089" "run2"
"35" "PA090" "run1"
"36" "PA090" "run2"
"37" "PA091" "run1"
"38" "PA091" "run2"
"39" "PA097" "run1"
"40" "PA097" "run2"
"41" "PA098" "run1"
"42" "PA098" "run2"
"43" "PA099" "run1"
"44" "PA099" "run2"
"45" "PA101" "run1"
"46" "PA101" "run2"
"47" "PA103" "run1"
"48" "PA103" "run2"
"49" "PA104" "run1"
"50" "PA104" "run2"
"51" "PA109" "run2"
"52" "PA114" "run1"
"53" "PA114" "run2"
"54" "PA117" "run2"
"55" "PA118" "run1"
"56" "PA118" "run2"
"57" "PA119" "run1"
"58" "PA119" "run2"
"59" "PA121" "run1"
"60" "PA122" "run1"
"61" "PA122" "run2"
"62" "PA124" "run1"
"63" "PA124" "run2"
"64" "PA126" "run1"
"65" "PA126" "run2"
"66" "PA128" "run1"
"67" "PA128" "run2"
"68" "PA130" "run1"
"69" "PA130" "run2"
"70" "PA131" "run1"
"71" "PA132" "run1"
"72" "PA132" "run2"
"73" "PA133" "run1"
"74" "PA133" "run2"
"75" "PA135" "run1"
"76" "PA135" "run2"
"77" "PA136" "run1"
"78" "PA137" "run1"
"79" "PA137" "run2"
"80" "PA138" "run1"
"81" "PA138" "run2"
"82" "PA139" "run1"
"83" "PA139" "run2"
"84" "PA140" "run1"
"85" "PA141" "run1"
"86" "PA141" "run2"
"87" "PA142" "run1"
"88" "PA142" "run2"
"89" "PA143" "run1"
"90" "PA143" "run2"
"91" "PA144" "run1"
"92" "PA146" "run1"
"93" "PA146" "run2"
"94" "PA148" "run2"
"95" "PA153" "run1"
"96" "PA154" "run1"
"97" "PA154" "run2"
"98" "PA155" "run2"
"99" "PA156" "run1"
"100" "PA156" "run2"
"101" "PA157" "run2"
"102" "PA160" "run1"
"103" "PA160" "run2"
"104" "PA164" "run1"
"105" "PA165" "run1"
"106" "PA165" "run2"
"107" "PA169" "run1"
"108" "PA169" "run2"
"109" "PA170" "run1"
"110" "PA170" "run2"
"111" "PA171" "run1"
"112" "PA172" "run1"
"113" "PA172" "run2"
"114" "PA173" "run1"
"115" "PA173" "run2"
"116" "PA174" "run1"
"117" "PA175" "run1"
"118" "PA175" "run2"
"119" "PA176" "run1"
"120" "PA177" "run1"
"121" "PA177" "run2"
"122" "PA178" "run1"
"123" "PA178" "run2"
"124" "PA179" "run1"
"125" "PA179" "run2"
"126" "PA180" "run1"
"127" "PA180" "run2"
"128" "PA181" "run1"
"129" "PA182" "run1"
"130" "PA182" "run2"
"131" "PA183" "run1"
"132" "PA183" "run2"
"133" "PA184" "run1"
"134" "PA185" "run1"
"135" "PA185" "run2"
"136" "PA187" "run1"
"137" "PA187" "run2"
"138" "PA188" "run1"
"139" "PA188" "run2"
"140" "PA190" "run1"
"141" "PA190" "run2"
"142" "PA193" "run1"
"143" "PA193" "run2"
"144" "PA194" "run1"
"145" "PA194" "run2"
"146" "PA195" "run1"
"147" "PA195" "run2"
"148" "PA196" "run1"
"149" "PA196" "run2"
"150" "PA197" "run2"
"151" "PA199" "run1"
"152" "PA201" "run2"
"153" "PA202" "run1"
"154" "PA202" "run2"
"155" "PA203" "run1"
"156" "PA203" "run2"
"157" "PA204" "run1"
"158" "PA204" "run2"
"159" "PA207" "run1"
